Sr. No.,Scrip Code,Name of Company,TICKER
1,500325,Reliance Industries Ltd,RELIANCE
2,500180,HDFC Bank Ltd.,HDFCBANK
3,532540,Tata Consultancy Services Ltd.,TCS
4,532454,Bharti Airtel  Ltd.,BHARTIARTL
5,532174,ICICI Bank Ltd.,ICICIBANK
6,500112,State Bank Of India,SBIN
7,500209,Infosys Ltd,INFY
8,500034,Bajaj Finance Limited,BAJAJFINANCE
9,500696,Hindustan Unilever Ltd.,HINDUNILVR
10,543526,LIFE INSURANCE CORPORATION OF INDIA,LICI
11,500875,ITC Ltd,ITC
12,500510,Larsen & Toubro Limited,LT
13,532500,Maruti Suzuki India  Ltd.,MARUTI
14,532281,HCL Technologies Ltd,HCLTECH
15,500247,Kotak Mahindra Bank Ltd.,KOTAKBANK
16,500520,Mahindra & Mahindra Ltd.,M&M
17,524715,Sun Pharmaceutical Industries Ltd.,SUNPHARMA
18,532215,AXIS Bank Ltd.,AXISBANK
19,532538,UltraTech Cement Ltd,ULTRACEMCO
20,532555,NTPC Limited,NTPC
21,532978,Bajaj Finserv Limited,BAJAJFINSV
22,541154,Hindustan Aeronautics Limited,HAL
23,500114,Titan Company Limited,TITAN
24,500312,Oil And Natural Gas Corporation Ltd,ONGC
25,532921,Adani Ports and Special Economic Zone Ltd,ADANIPORTS
26,500049,Bharat Electronics Ltd.,BEL
27,512599,Adani Enterprises Ltd.,ADANIENSOL
28,543320,Eternal Limited,ETERNAL
29,540376,Avenue Supermarts Limited,DMART
30,532898,POWER GRID CORPORATION OF INDIA LIMITED,POWERGRID
31,507685,Wipro  Ltd.,WIPRO
32,500228,JSW Steel Limited,JSWSTEEL
33,500570,TATA MOTORS PASSENGER VEHICLES LIMITED,TATAMOTORS
34,533096,Adani Power Limited,ADANIPOWER
35,532977,Bajaj Auto Limited,BAJAJ-AUTO
36,533278,Coal India Limited,COALINDIA
37,500820,Asian Paints Ltd.,ASIANPAINT
38,500790,Nestle India Ltd.,NESTLEIND
39,539448,InterGlobe Aviation Limited,INDIGO
40,530965,Indian Oil Corporation Ltd.,IOC
41,500470,TATA STEEL LIMITED,TATASTEEL
42,543940,Jio Financial Services Limited,JIOFIN
43,532868,DLF LIMITED,DLF
44,500188,Hindustan Zinc Ltd.,HINDZINC
45,500251,Trent Ltd [Lakme Ltd],TRENT
46,500300,Grasim Industries Ltd,GRASIM
47,540719,SBI Life Insurance Company Limited,SBILIFE
48,544274,HYUNDAI MOTOR INDIA LIMITED,HYUNDAI
49,500295,Vedanta Limited,VEDL
50,543257,Indian Railway Finance Corporation,IRFC
51,532488,Divi's Laboratories Ltd.,DIVISLAB
52,505200,Eicher Motors Ltd.,EICHERMOT
53,540777,HDFC LIFE INSURANCE COMPANY LIMITED,HDFCLIFE
54,540180,Varun Beverages Limited,VBL
55,541450,Adani Green Energy Limited,ADANIGREEN
56,500440,Hindalco Industries Ltd.,HINDALCO
57,540005,LTIMindtree Limited,LTIM
58,500331,Pidilite Industries Ltd.,PIDILITIND
59,532755,Tech Mahindra Limited,TECHM
60,500490,Bajaj Holdings & Investment Limited,BAJAJHLDNG
61,532343,TVS Motor Company Ltd.,TVSMOTOR
62,500547,Bharat Petroleum Corpn. Ltd.,BPCL
63,500425,Ambuja Cements Ltd.,AMBUJACEM
64,544574,Tata Capital Limited,TATACAP
65,500825,Britannia Industries Ltd.,BRITANNIA
66,532725,Solar Industries India Limited,SOLARINDS
67,532810,Power Finance Corporation Ltd,PFC
68,511243,Cholamandalam Investment and Finance Company Ltd,CHOLAFIN
69,543287,Lodha Developers Limited,LODHA
70,532134,Bank Of Baroda,BANKBARODA
71,500400,Tata Power Co. Ltd,TATAPOWER
72,532424,Godrej Consumer Products Ltd.,GODREJCP
73,532461,Punjab National Bank,PNB
74,500087,Cipla Ltd.,CIPLA
75,511218,Shriram Finance Limited,SHRIRAMFIN
76,543237,Mazagon Dock Shipbuilders Limited,MAZDOCK
77,532155,Gail (India) Ltd.,GAIL
78,500002,ABB India Limited,ABB
79,500420,Torrent Pharmaceuticals Ltd.,TORNTPHARM
80,543220,Max Healthcare Institute Limited,MAXHEALTH
81,544390,Siemens Energy India Limited,SIEMENS
82,541729,HDFC Asset Management Company Limited,HDFCAMC
83,544576,LG Electronics India Limited,LGEINDIA
84,500550,Siemens Ltd.,SIEMENS
85,500800,TATA CONSUMER PRODUCTS LIMITED,TATACONSUM
86,500093,CG Power and Industrial Solutions Limited,CGPOWER
87,500387,Shree Cements Ltd.,SHREECEM
88,533398,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
89,500850,Indian Hotels Co. Ltd,INDHOTEL
90,500530,Bosch Ltd,BOSCHLTD
91,508869,Apollo Hospitals Enterprises Ltd.,APOLLOHOSP
92,517334,Samvardhana Motherson International Limited,MOTHERSON
93,532477,Union Bank of India,UNIONBANK
94,500124,Dr. Reddy's Laboratories Ltd.,DRREDDY
95,539254,Adani Energy Solutions Limited,ADANIENSOL
96,532483,Canara Bank,CANBK
97,532955,REC LIMITED,RECLTD
98,543904,Mankind Pharma Limited,MANKIND
99,542652,Polycab India Limited,POLYCAB
100,532432,United Spirits Limited,UNITDSPR
101,500116,IDBI Bank Ltd,IDBI
102,532286,JINDAL STEEL LIMITED,JINDALSTEL
103,500480,Cummins India Ltd.,CUMMINSIND
104,534816,INDUS TOWERS LIMITED,INDUSTOWER
105,532321,Zydus Lifesciences Limited,ZYDUSLIFE
106,540699,Dixon Technologies (India) Limited,DIXON
107,544285,SWIGGY LIMITED,SWIGGY
108,544252,Bajaj Housing Finance Limited,BAJAJHFL
109,517354,Havells India Limited,HAVELLS
110,540716,ICICI Lombard General Insurance Company Limited ,ICICIGI
111,500182,Hero MotoCorp Limited,HEROMOTOCO
112,532754,GMR Airports Limited,GMRAIRPORT
113,531642,Marico Limited,MARICO
114,532777,Info Edge(India) Ltd.,NAUKRI
115,533148,JSW Energy Limited,JSWENERGY
116,544277,Waaree Energies Limited,WAAREE
117,532814,Indian Bank,INDIANB
118,540133,ICICI Prudential Life Insurance Company Limited,ICICIPRULI
119,500257,Lupin Ltd,LUPIN
120,503806,SRF Ltd.,SRF
121,500096,Dabur India Ltd.,DABUR
122,544162,Bharti Hexacom Limited,BHARTIHEXA
123,500104,Hindustan Petroleum Corporation Ltd,HINDPETRO
124,544289,NTPC GREEN ENERGY LIMITED,NTPCGREEN
125,533179,Persistent Systems Limited,PERSISTENT
126,533098,NHPC Limited,NHPC
127,543066,SBI CARDS AND PAYMENT SERVICES LIMITED,SBICARD
128,500103,Bharat Heavy Electricals Ltd.,BHEL
129,532667,SUZLON ENERGY LTD.,SUZLON
130,543187,HITACHI ENERGY INDIA LIMITED,POWERINDIA
131,543390,PB Fintech Limited,POLICYBZR
132,532822,VODAFONE IDEA LIMITED,IDEA
133,532466,Oracle Financial Services Software Limited,OFSS
